,Wine,Vintage,Format,Cost,Qty,Negoce
0,Carruades de Lafite,2000,750ml,4370.46,108,Dynamic
1,Carruades de Lafite,2007,750ml,3539.04,36,Dynamic
2,Carruades de Lafite,2008,750ml,3657.78,396,Dynamic
3,Chateau Angelus,2009,1500ml,4503.16,12,Dynamic
4,Chateau Cantemerle,2012,750ml,190.0,120,Dynamic
5,Chateau Carbonnieux Blanc,2012,750ml,199.0,120,Dynamic
6,Chateau Carbonnieux Rouge,2012,750ml,188.75,36,Dynamic
7,Chateau de Pommard,2005,750ml,1040.17,166,Dynamic
8,Chateau de Pommard,2006,750ml,1040.17,12,Dynamic
9,Chateau de Pommard,2007,750ml,548.17,240,Dynamic
10,Chateau Lagrange,2012,750ml,251.1,59,Dynamic
11,Chateau Lynch Bages,1996,750ml,1721.45,120,Dynamic
12,Chateau Lynch Bages,2001,750ml,998.79,133,Dynamic
13,Chateau Lynch Bages,2005,750ml,1276.74,9,Dynamic
14,Chateau Lynch Bages,2006,750ml,998.79,42,Dynamic
15,Chateau Lynch Bages,2007,750ml,887.61,515,Dynamic
16,Chateau Lynch Bages,2008,750ml,998.79,168,Dynamic
17,Chateau Phelan Segur,2012,750ml,221.4,59,Dynamic
18,Chateau Pichon Baron,2000,750ml,1631.03,72,Dynamic
19,Chateau Pichon Lalande,2000,750ml,1218.07,118,Dynamic
20,Rolf Binder Veritas Winery Hanisch Shiraz,2006,750ml,541.15,102,Dynamic
21,Rolf Binder Veritas Winery Haysen Shiraz,2006,750ml,400.85,120,Dynamic
22,Dom Perignon,2006,750ml,805.0,72,Dynamic
